Time_Index,KR_hydro_res
1,0.01374
2,0.01374
3,0.01374
4,0.01374
5,0.01374
6,0.01374
7,0.01374
8,0.01374
9,0.01374
10,0.01374
11,0.01374
12,0.01374
13,0.01374
14,0.01374
15,0.01374
16,0.01374
17,0.01374
18,0.01374
19,0.01374
20,0.01374
21,0.01374
22,0.01374
23,0.01374
24,0.01374
25,0.011002
26,0.011002
27,0.011002
28,0.011002
29,0.011002
30,0.011002
31,0.011002
32,0.011002
33,0.011002
34,0.011002
35,0.011002
36,0.011002
37,0.011002
38,0.011002
39,0.011002
40,0.011002
41,0.011002
42,0.011002
43,0.011002
44,0.011002
45,0.011002
46,0.011002
47,0.011002
48,0.011002
49,0.014485
50,0.014485
51,0.014485
52,0.014485
53,0.014485
54,0.014485
55,0.014485
56,0.014485
57,0.014485
58,0.014485
59,0.014485
60,0.014485
61,0.014485
62,0.014485
63,0.014485
64,0.014485
65,0.014485
66,0.014485
67,0.014485
68,0.014485
69,0.014485
70,0.014485
71,0.014485
72,0.014485
73,0.019678
74,0.019678
75,0.019678
76,0.019678
77,0.019678
78,0.019678
79,0.019678
80,0.019678
81,0.019678
82,0.019678
83,0.019678
84,0.019678
85,0.019678
86,0.019678
87,0.019678
88,0.019678
89,0.019678
90,0.019678
91,0.019678
92,0.019678
93,0.019678
94,0.019678
95,0.019678
96,0.019678
97,0.010638
98,0.010638
99,0.010638
100,0.010638
101,0.010638
102,0.010638
103,0.010638
104,0.010638
105,0.010638
106,0.010638
107,0.010638
108,0.010638
109,0.010638
110,0.010638
111,0.010638
112,0.010638
113,0.010638
114,0.010638
115,0.010638
116,0.010638
117,0.010638
118,0.010638
119,0.010638
120,0.010638
121,0.010638
122,0.010638
123,0.010638
124,0.010638
125,0.010638
126,0.010638
127,0.010638
128,0.010638
129,0.010638
130,0.010638
131,0.010638
132,0.010638
133,0.010638
134,0.010638
135,0.010638
136,0.010638
137,0.010638
138,0.010638
139,0.010638
140,0.010638
141,0.010638
142,0.010638
143,0.010638
144,0.010638
